label,article
<G>,"Sam is riding her bike in her home town in Maine, minding her own business. A station wagon comes up behind her and the driver starts beeping his horn and then tries to force her off the road. As he goes by, the driver yells ""get on the sidewalk where you belong!"" Sam sees that the car has Ohio plates and concludes that all Ohio drivers are jerks."
<WCB>,You oversleep and then fail a test; so you assume that oversleeping causes you to fail tests
<IR>,"""Russia has a terrible human rights record."" ""Well, the United States has done plenty of bad things."" -the President when confronted about Russia's human rights abuses."
<WCB>,"Earthquakes are caused when the plates of the Earth's crust move. Earthquakes happen along ""fault lines"" in the earth’s crust. When the plates in the Earth suddenly shift, the Earth will begin to shift, shake or tremble.
What is the central idea?"
<WCB>,"I believe in supernatural beings because every time I drive past the cemetery where  my grandmother is buried, a light on my dashboard flashes.  Her spirit causes this because it never happens otherwise."
<WCB>,"During the first week of July ice cream sales climbed, and during the second week murder rates climbed. Therefore, ice cream inspires murder."
<WCB>,"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein."
<FE>,"""You can be a good politician and play dirty or you can drop out."""
<FE>,"Sukaina to her mom: Either you buy me this new book, or you decide that reading is not important at all."
<IR>,"My best friend says you’re a liar, so I’m not going to talk to you."
<WCB>,The milk was left out all night and was spoiled. It should have been put in the refrigerator
<G>,Everyone is against child pornography. I asked Mrs. Smith and Mr. Jones at the PTA meeting and they are definitely against it.
<IR>,You want me to clean my locker? I think I left my homework in Science class. I need to keep up with my homework to get good grades.
<FU>,"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!"""
<IR>,Leonardo DiCaprio is just a dumb actor! What does he really know about climate change?!
<G>,"My mother always told me that if I went outside right after bathing, during winter, I would catch pneumonia."
<FU>,Justifies a claim because a large group favors it
<WCB>,You know Jane Fonda’s exercise videos must be worth the money. Look at the great shape she’s in.
<FE>,"""The only solutions I can see to climate change is either mass extinction of humans, or passing this green bill."""
<IR>,"In our psychology department, half of the faculty believe that the new assistant professor shows serious problems in the area of ethics. The other half believe that the new faculty member shows no problems in the area of ethics. Obviously the new professor shows mild to moderate problems in the area of ethics."
<WCB>,It’s cold on a summer day. Global warming is a hoax.
<IR>,"FlatSam: Common sense tells us that if the earth were a sphere, people on the bottom would fall off.
ReasonEric: I don’t think you get to reference something you clearly don’t have.
"
<FE>,Either we ban teenagers from possessing cell phones or we continue to let thousands of young students fail their classes.
<FU>,"""My mom said that Colgate is the best toothpaste because almost 90% of dentists approve of this.""

What fallacy is being committed in the sentence above?"
<IR>,"Education is important for the future of the American people and our country.   So, you should choose to study at St. Cloud State University."
<WCB>,"Many homosexuals have AIDS. Therefore, homosexuality causes AIDS."
<FE>,"You've got to teach the boys logic! If you don't teach them logic, they won't learn how to think! And they'll become hobos and die in prison! Don't you care about your sons? (Mother to Father)"
<FU>,Everyone is going to get the new smart phone when it comes out this weekend. Why aren’t you?
<IR>,Why would you lend money to some who looks like they don't have a job?
<FE>,America:  love it or leave it. Either you’re for us or against us.
<IR>,This fallacy isn’t proof of anything except that you don’t know something.
<WCB>,"""Truly helps cramming for a test: my psychological test is crowded and I have an A."""
<G>,Never be kind and generous to the poor. They’ll come to expect your help always and never learn to contribute to society.
<IR>,"A father tells his son not to start smoking as he will regret it when he is older, and the son points out that his father is a smoker. This does not alter the fact that his son may regret smoking when he is older."
<FE>,"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one."
<G>,"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great."""
<IR>,"""If you hadn't vandalized that car, don't you think things would have gone better for you?"""
<G>,All four year olds talk too much.
<IR>,"Lola: I don't think John would be a good fit to manage this project, because he doesn't have a lot of experience with project management.
John: But you don't have a lot of experience in project management either!"
<FE>,“You could either pursue your dream job or stay where you are and be miserable for the rest of your life.”
<IR>,"""Let's look instead at what my opponent proposes to do with your hard earned money!""
This is an example of which type of logical fallacy?"
<WCB>,"Every person who has ever drunk water has died. Therefore, drinking water causes death."
<G>,We think this new MallTime game app will be a success because all little girls like shopping.
<IR>,"ghosts must exist, because nobody has been able to prove that they don't is an example of"
<FU>,"Everyone is getting tattoos in college, so you might as well do it too."
<IR>,"I shop at Natural Happy Sunshine Store (NHSS), which is much better than your grocery store because at NHSS everything is natural including the 38-year-old store manager’s long gray hair and saggy breasts."
<FU>,Over 99 billion people served…
<IR>,"""If you have never been born again, eternal separation from God in the Lake of Fire awaits you. If you are born again, then being with the Lord in heaven forever is your destiny. Which do you choose?"""
<IR>,Evolution is the idea that humans come from pond scum.
<G>,People nowadays only vote with their emotions instead of their brains.
<IR>,"person 1 : ""We should argue with logic facts""
person 2: ""You should grow a brain before you open your mouth"""
<FU>,"An increasing number of people are keeping ferrets as pets, so they must make wonderful companion animals."
<IR>,"If you don't start recycling now, our entire planet will be destroyed in ten years."
<G>,I work out in the morning because it worked for my friend.
<FU>,"Justin Beiber wears Ray Bans, so you should buy a pair to wear in the sun."
<FE>,"Look, the only way to improve social programs is to raise taxes. You have to either raise taxes, or accept that the poor and needy are going to suffer."
<FU>,"Form: Idea X is popular.
Therefore, X is correct."
<G>,"If we let this child bring the permission slip late, there is no reason to ever set a deadline for anything again!"
<RR>,Filthy and polluting coal should be banned.
<G>,"Most of my testimony about the defendant was the opposite of what I actually believe but I'll bet there's no expert witness who has always told the truth from the time they were old enough to talk, so I'm no less honest than they are."
<G>,A few students are misbehaving...therefore the whole class is bad. What fallacy is this an example of?
<IR>,"I was assigned a personal trainer at the Rec, and he gave me a new workout program. But I don't have any confidence in his expertise, since he has obvious trouble controlling his own appetite."
<IR>,That's what you'd expect someone like him/her to say
<DEP>,"Board Member: “If this company is going to maximize its profits in the coming year, we need to fully exploit all of our available resources.”
Human Resources Director: “Not so fast. Our employees are one of our most valued resources, and we have a strict policy against exploiting our workers.”"
<IR>,"If we don’t teach teens to work harder, the human race is doomed."
<IR>,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
"
<WCB>,"""I drank bottled water and now I am sick, so the water must have made me sick."""
<FE>,You are either with God or against him.
<G>,Look at people like Michael Vick and OJ Simpson. Professional athletes really have no sense of morality.
<FU>,"""Historically, up until the late 16th century, most people believed that the Earth was the center of the universe. Today we understand this is not true,"" is an example of what fallacy?"
<FU>,"Everybody else is doing it, why don't you?"
<FU>,"“This is how most schools evaluate their students, so it must be effective.”"
<G>,"Pastor Pete: People are turning to God everywhere! 9 out of 10 people I interviewed said that they had a personal relationship with Jesus Christ.

Fred: Where did you find these people you interviewed?
Pastor Pete: In my church."
<RR>,God exists. How do you know? Because it says so in the Bible.
<RR>,Why must you always take positions that are so unscientific?
<WCB>,"Pointing to a fancy chart, Roger shows how temperatures have been rising over the past few centuries, whilst at the same time the numbers of pirates have been decreasing; thus pirates cool the world and global warming is a hoax."
<G>,"Michael is part of the Jackson Five.  Without Tito and company, he will never make it."
<IR>,"If there is objective morality, then good moral behavior will be rewarded after death.  I want to be rewarded; therefore, morality must be objective."
<WCB>,Billy murdered all those people because I spanked him when he was a child.
<G>,This clinic sure makes a lot of money. Each of the psychologists who work there must earn a large income.
<WCB>,"Every time I go to sleep, the sun goes down.  Therefore, my going to sleep causes the sun to set."
<FU>,AttP 1: Jenny & Bert's Economy Conversation
<WCB>,"Siblings Dan and Joe had a serious argument, and Dan told Joe that he hated him and wished that he would get hit by a car. Two days later, Dan was told that Joe had been struck by a car. Dan blamed himself and thought that if he hadn’t made the comment during their fight, Joe would not have been hit."
<G>,"""She's definitely a feminist; she watched the Democratic National Convention"" IS an example of this fallacy."
<IR>,"Professor X holds that the use of non-invasive ventilation has no place in the management of ARDS; this, therefore, is the approach we should adopt."
<IR>,Our competitors use unhealthy sugar substitutes and artificial sweeteners. But Rev-Up Energy Drink contains one hundred percent real cane sugar to fuel your body better.
<FU>,"Not only is paying a higher income tax a patriotic duty, it is also a sacred obligation."
<RR>,Shakira is the best singer in the world because she is the most talented singer there is.
<IR>,"U.S. Sen. Tom Coburn says that lesbianism is rampant in the Oklahoma schools. This must, indeed, be true, because surely the senator couldn't be mistaken about the schools in his own state."
<IR>,"Latin should not be taught in school since it is not spoken anywhere in the world. All learning should have some use to be of value, and a dead language has no practical use."
<G>,"The government is convinced that it was a bomb that brought down the aircraft. “Our countrymen believe it was a bomb,” said the president. “A survey done a few days after the crash indicates that almost seventy percent of the people believe it was a terrorist’s bomb.”"
<FU>,"More and more people are buying sports utility vehicles. It is time you bought one, too!"
<FU>,"Verizon advertising the newest Samsung Galaxy phone, claiming that everyone else who has bought it loves the new product."
<IR>,"Coke is not as healthy for you as Pepsi. Besides, Britney Spears drinks Pepsi, so it must be healthier than Coke."
<RR>,"In arguing that abortion is not really a private moral matter, Fr. Frank A. Pavone, National Director Priests for Life, has written that ""Abortion is our problem, and the problem of every human being. We are one human family. Nobody can be neutral on abortion. It involves the destruction of an entire group of human beings!"""
<WCB>,People who eat yogurt have healthy guts. If I eat yogurt I will never get sick.
<IR>,My father told me that the sky is green. So it must be the truth.
<FE>,Either go to the party or spend the night in your room crying.
<IR>,"To this very day (at the time of this writing), science has been unable to create life from non-life; therefore, life must be a result of divine intervention."
<IR>,"MARVIN STONE: You suggest that we scrap the SALT II treaty already negotiated, and intensify the build-up of American power to induce the Soviets to sign a new treaty - one more favorable to us. President Carter, on the other hand, says he will again try to convince a reluctant Congress to ratify the present treaty on the grounds it's the best we can hope to get. Now, both of you cannot be right. Will you tell us why you think you are?
RONALD REAGAN: Yes. I think I'm right because I believe that we must have a consistent foreign policy, a strong America, and a strong economy. And then, as we build up our national security, to restore our margin of safety, we at the same time try to restrain the Soviet build-up, which has been going forward at a rapid pace, and for quite some time.
October 28, 1980
Cleveland, Ohio
What logical fallacy did Reagan’s response illustrate the use of?"
<WCB>,The reason Donald Trump got elected was because liberals took political correctness too far.
<G>,Fred the Australian stole my wallet. All Australians are thieves!
<WCB>,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror."
<WCB>,"I had a real bad headache, then saw my doctor.  Just by talking with him, my headache started to subside, and I was all better the next day.  It was well worth the $200 visit fee."
<FE>,"“If you really loved me, you would buy me everything I ever wanted!”"
<IR>,"Since the class is not asking any further questions, then that means that they are all ready for the test."
<FU>,"Why should you feel guilty for seeking your own happiness when that's what everyone else is doing, too?"
<RR>,"Ralph Nader and Pat Buchanan are banging at the doors, and the political establishment, consisting of both politicians and the media, seems determined not to let them in on the grounds that they have no public support."
<FU>,God must exist because every culture has some sort of belief in a higher being.
<DEP>,"The officer told me to freeze but it was too hot out to be freezing, so I was justified in running away."
<IR>,"“While you may have concerns about my votes about the environment, I can assure you that I am an open minded individual. What we should really discuss is my record on votes that expanded educational opportunities for all children."""
<WCB>,"The economy continues to grow as the number of likes on my Instagram account continue to increase. Clearly, the two are linked."
<G>,"If we let our child out of his room, eventually he will want to leave the house, and will end up on the street. If he is walking around on the street then he will be snatched up by a stranger and sold into slavery in a remote region on the World."
<WCB>,"earthquakes in the Andes were correlated with the closest approaches of the planet Uranus. Therefore, Uranus must have caused them."
<IR>,“A bank with the heart for every Filipino” - Veterans Bank
<G>,"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles.  Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one.  Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature.  So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning."
<DEP>,Science shows us that improved quality of life comes through research and invention.
<RR>,Canada is the best country to live in because it's better than the other countries!
<IR>,Of course you don't like rap or hip-hop music! You wear the same clothes every day and have zero fashion sense.
<FU>,"""Terrorists must not be given the chance to invade our beloved country."""
<G>,"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.

Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated."
<FE>,"""Either the city should provide recycling bins or throw out the Recycling Act"" is an example of:"
<FE>,"""The academic decathlon, Mr. Iglesias? That's a rich kid thing."""
<IR>,"Jeannette has an upcoming exam in anatomy and physiology. It will cover the four chapters read and discussed over the last month. Jeannette hasn’t studied. Though there are well over 200 terms she will be expected to remember, Jeannette knows that her memory is great. She will remember the terms just from having heard them mentioned in class. After all, because of her excellent memory, she got through high school without studying. Despite her faith in her memory, her lack of studying results in an F on the exam."
<G>,"Bill: ""You know, those feminists all hate men."" Joe: ""Really?"" Bill: ""Yeah. I was in my philosophy class the other day and that Rachel chick gave a presentation."" Joe: ""Which Rachel?"" Bill: ""You know her. She's the one that runs that feminist group over at the Women's Center. She said that men are all sexist pigs. I asked her why she believed this and she said that her last few boyfriends were real sexist pigs. "" Joe: ""That doesn't sound like a good reason to believe that all of us are pigs."" Bill: ""That was what I said."" Joe: ""What did she say?"" Bill: ""She said that she had seen enough of men to know we are all pigs. She obviously hates all men."" Joe: ""So you think all feminists are like her?"" Bill: ""Sure. They all hate men."""
<G>,"Brad's mother asked him why he wasn't trying out for the school play. He responded: ''Because if Tom gets the male lead, which he always does, then I'll only be in the chorus, and it's not worth being in the play if I'm only going to be in the chorus.'' This is an example of which logical fallacy?"
<FU>,An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.
<FE>,I called my friend and he didn't answer. He wasn't home or he was dead.
<IR>,"SuperCyberDate.con determined that Sally and Billy are a great match because they both like pizza, movies, junk food, Janet Jackson, and vote republican. What SuperCyberDate.con did not take into consideration were the 245 other likes and dislikes that were very different for both Sally and Billy—such as the fact that Billy is gay"
<IR>,"No one has proven God exists, so He doesn’t."
<G>,"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness."
<FU>,"the claim, as evidence for an idea, that many people believe it, or used to believe it or do it."
<G>,A person hanging out in a bar will be an alcoholic
<IR>,"Person 1: If you are a Marvel fan then you love Avengers: Endgame.
Person 2: I am a Marvel fan and I did not love Avengers: Endgame.
Person 1: Well you aren’t a TRUE Marvel fan.”"
<IR>,“Police officers agree that Blackjack Steering Wheel Locks are the most effective deterrent against car theft.”
<IR>,"Senator Jones wants a strong national defense, but I will not vote for him because he moved to Canada to avoid being drafted for war when he was in college."
<FE>,"If you don't say the Pledge of Allegiance, then you must be a traitor."
<WCB>,"I. Many seats in the private medical colleges in the state have remained vacant this year.
II. The government medical colleges in the state could accommodate all the students who sought admission this year."
<G>,"You should never gamble! Once you start gambling you find it hard to stop. Soon you will spend all your money on gambling, and eventually you will turn to crime just to support your gambling addiction.
¡Nunca debes apostar! Una vez que empiece a jugar, le resultará difícil dejar de jugar. Pronto gastará todo su dinero en juegos de azar y, finalmente, recurrirá a la delincuencia solo para apoyar su adicción al juego."
<G>,“People nowadays only vote with their emotions instead of their brains.”
<IR>,"Boy , those sound like pretty terrible, epicly fascist (hint) robots."
<FU>,Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipino support it.
<FU>,"Everybody know that staying out in the rain can make you sick.
Which logical fallacy is represented here?"
<G>,"I know five people from Kentucky. They are all racists. Therefore, Kentuckians are racist."
<IR>,"People have believed that fish is ""brain food"" for decades, so I don't believe the  FDA when they claim that eating fish does not enhance the intellect."
<IR>,"Which fallacy literally means ""He did it himself?"""
<G>,All students are good and all clowns are bad.
<FU>,SM 7: No global warming happening
<RR>,Everybody loves Raymond because he is so popular. Popular people are loved by everybody.
<IR>,"You really should support Senator Jones and his campaign to strengthen national defense. If you do not, he will lose control of the Armed Forces Committee and likely resign from politics."
<IR>,"Charlie: Fast food is filled with salt, fat and added sugars. We need better regulation of the industry.
Bob: That may be, but you're such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries and 64 ounces of soda yesterday."
<IR>,"There must be objective rights and wrongs in the universe.  If not, how can you possibly say that torturing babies for fun could ever be right?"
<IR>,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?..."
<G>,"Yesterday you were 5 minutes late, today 10, and tomorrow you won't even show up!"
<IR>,"I believe that when we die, we will spend eternity reading books and learning more about writing composition. I am so comforted by this belief!"
<G>,"My friend said her Math class was hard, and the one I’m in is hard, too. All Math classes must be hard!"
<IR>,"You should always eat everything on your plate, think of all the children in Africa who doesn’t always have enough food."
<IR>,"""Your honor, I believe that we won this case. Look at the opposite camp; they were late for today's hearing!"""
<IR>,"I don’t care what scientists say, my mother always told me that the world is flat, and she would never lie to me!"
<IR>,"John: Can you please help me push my car to the side of the road until the tow truck comes?
Paul: Why push it to the side of the road?  Why not just leave it?
John: It is slowing down traffic unnecessarily where it is.
Paul: Many things slow down traffic—do you feel you need to do something about all them?
John: No, but this was my fault.
Paul: Was it really? Were you the direct cause of your car breaking down?
John: Are you going to help me move this damn car or not?!
"
<G>,“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”
<G>,Nobody thinks homelessness is a good thing.
<DEP>,"All stars are exploding balls of gas.
Miley Cyrus is a star.
Therefore, Miley Cyrus is an exploding ball of gas"
<G>,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...)
<IR>,An attempt to gain a customer’s trust in an advertisement is referred to as
<IR>,"""My best friend tweeted about the health benefits of pizza, and so we're going to out to eat two vegetable pizzas tonight."""
<IR>,"""Sir, please let me take the exam. I was late because I need to cook our breakfast and wash the dishes."""
<IR>,A man who has cheated on his spouse is confronted by a friend who tells him that it is wrong. The man begins to talk about right versus wrong and who decides.
<G>,I asked six of my friends what they thought of the new spending restraints and they agreed it is a good idea. The new restraints are therefore generally popular.
<WCB>,"“President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.”"
<IR>,Just give me a chance to prove it to you. I can’t live this life if you will leave me. My world will stop to turn around. I will not be able to eat nor drink.
<IR>,"In a study designed by a famous academic to test the effects of pleasant imagery on motivation, employees were shown images of baby animals and beautiful nature scenes for their first five minutes at work.

Amazingly, results showed a 10 percent leap in profits in the first quarter and record earnings over the course of a year. So, showing employees pleasant images is a great way to increase their motivation and improve productivity"
<IR>,"There you are cheating on your husband, how could you ever tell us anything meaningful about ethics?"
